연도,유형,구분,구분상세,1월 취득 필지,1월 취득 면적(제곱미터),1월 취득 금액(백만원),2월 취득 필지,2월 취득 면적(제곱미터),2월 취득 금액(백만원),3월 취득 필지,3월 취득 면적(제곱미터),3월 취득 금액(백만원),4월 취득 필지,4월 취득 면적(제곱미터),4월 취득 금액(백만원),5월 취득 필지,5월 취득 면적(제곱미터),5월 취득 금액(백만원),6월 취득 필지,6월 취득 면적(제곱미터),6월 취득 금액(백만원),7월 취득 필지,7월 취득 면적(제곱미터),7월 취득 금액(백만원),8월 취득 필지,8월 취득 면적(제곱미터),8월 취득 금액(백만원),9월 취득 필지,9월 취득 면적(제곱미터),9월 취득 금액(백만원),10월 취득 필지,10월 취득 면적(제곱미터),10월 취득 금액(백만원),11월 취득 필지,11월 취득 면적(제곱미터),11월 취득 금액(백만원),12월 취득 필지,12월 취득 면적(제곱미터),12월 취득 금액(백만원),데이터기준일자
2024,주체별,개인,미국교포,13,19846,95,3,3800,0,6,23736,130,12,11096,620,2,164,220,4,3622,360,4,407,181,9,31115,0,2,4647,0,8,32905,1369,3,504,430,8,2155,2211,2024-12-31
2024,주체별,개인,기타교포,4,1402,0,7,627,1058,6,392,792,12,1487,1698,6,2595,1104,8,925,614,8,360,1661,29,2700,1236,2,332,1040,14,2136,2207,5,1628,998,11,7635,889,2024-12-31
2024,주체별,개인,순수외국인,14,10508,0,12,9874,1545,22,1702,2515,32,6316,6336,39,3611,5548,16,1699,6910,14,6101,6883,40,1177,2198,10,6376,3468,61,9796,10332,22,2991,5627,21,3173,8614,2024-12-31
2024,주체별,법인,미국합작법인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-31
2024,주체별,법인,기타합작법인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-31
2024,주체별,법인,순수외국법인,0,0,0,0,0,0,2,36992,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,93,0,0,0,14,636,650,2024-12-31
2024,주체별,정부·단체등,해당없음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-31
2024,국적별,미국,해당없음,16,21285,95,6,6170,0,8,60728,1230,17,12027,1142,4,304,420,4,3622,360,6,3743,973,11,31905,100,3,5085,375,8,32905,1369,12,1005,1130,9,2204,2229,2024-12-31
2024,국적별,기타미주,해당없음,0,0,0,3,2207,820,0,0,0,8,1473,1105,0,0,0,0,0,0,3,214,1046,0,0,0,1,60,14,6,191,774,4,37,929,3,2886,665,2024-12-31
2024,국적별,영국·프랑스·독일,해당없음,1,1368,0,3,4256,121,1,591,0,1,67,62,2,923,485,0,0,0,1,272,250,0,0,0,2,79,105,1,55,910,0,0,0,15,778,650,2024-12-31
2024,국적별,기타유럽,해당없음,0,0,0,2,330,265,2,60,171,0,0,0,0,0,0,2,223,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4794,494,2024-12-31
2024,국적별,일본,해당없음,6,7656,0,1,23,140,4,307,425,1,95,250,0,0,0,1,30,4,0,0,0,7,2662,0,0,0,0,2,562,0,0,0,0,0,0,0,2024-12-31
2024,국적별,중국,해당없음,8,1447,0,5,692,1257,20,1102,2461,26,3970,4916,37,2365,4175,9,1258,5653,12,1955,4302,59,401,3094,7,6086,3830,64,9844,10130,13,2490,4927,21,2864,7947,2024-12-31
2024,국적별,기타아시아(대만·태국등),해당없음,0,0,0,1,116,0,0,0,0,2,1217,700,2,273,1330,11,1000,867,0,0,0,0,0,0,1,35,184,0,0,0,0,0,0,4,72,379,2024-12-31
2024,국적별,그외국가,해당없음,0,0,0,1,507,0,1,34,250,1,50,480,2,2504,462,1,113,1000,3,639,2154,1,25,240,0,0,0,5,1281,818,1,1591,69,0,0,0,2024-12-31
2024,취득원인별,신고,계약,21,11814,95,16,5242,2482,35,53996,4537,44,7734,8654,46,6221,6872,25,5993,7880,22,3054,8725,62,1216,3434,11,6638,4494,81,11733,14000,29,4787,7055,50,8895,12364,2024-12-31
2024,취득원인별,신고,계약외,7,9024,0,4,4372,121,1,8826,0,0,0,0,1,149,0,1,30,4,3,3769,0,15,29965,0,1,60,14,2,562,0,1,336,0,1,142,0,2024-12-31
2024,취득원인별,신고,계속보유,3,10917,0,2,4687,0,0,0,0,12,11165,0,0,0,0,2,223,0,1,46,0,1,3812,0,2,4647,0,3,32544,0,0,0,0,3,4561,0,2024-12-31
2024,취득원인별,허가,해당없음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-31
2024,취득용도별,주택용지,아파트,5,33,0,3,753,140,7,431,1782,8,272,1385,7,402,1578,9,630,2152,9,446,4065,3,60,305,2,49,456,13,498,4434,15,290,1593,7,196,1957,2024-12-31
2024,취득용도별,주택용지,단독주택,3,873,0,3,767,0,5,986,775,9,1865,838,5,1942,2000,4,1802,3141,1,275,200,2,790,100,4,576,494,13,8582,4833,0,0,0,7,1766,2869,2024-12-31
2024,취득용도별,주택용지,기타,6,184,0,3,259,1009,1,3,79,7,1345,1595,5,292,324,0,0,0,3,240,560,46,330,2303,0,0,0,15,1274,1910,1,22,42,12,568,1774,2024-12-31
2024,취득용도별,레져용지,해당없음,1,693,0,0,0,0,0,0,0,4,2341,2565,0,0,0,3,326,593,4,1745,3396,0,0,0,2,524,2064,3,975,1260,5,1717,4180,18,2105,4830,2024-12-31
2024,취득용도별,상업용지,해당없음,0,0,0,0,0,0,1,30,86,12,781,180,0,0,0,0,0,0,1,46,0,4,2,188,1,35,184,1,20,107,0,0,0,3,95,18,2024-12-31
2024,취득용도별,공장용지,해당없음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-31
2024,취득용도별,기타,해당없음,16,29974,95,13,12522,1454,22,61372,1816,16,12296,2092,30,3733,2970,12,3488,1999,8,4117,504,23,33811,538,5,10159,1310,41,33491,1456,9,3094,1240,7,8867,916,2024-12-31
