구군명,총계,총계(남),총계(여),결혼이민자,결혼이민자(남),결혼이민자(여),결혼이민자_국적미취득자,결혼이민자_국적미취득자(남),결혼이민자_국적미취득자(여),결혼이민자_국적취득자,결혼이민자_국적취득자(남),결혼이민자_국적취득자(여),자녀,자녀(남),자녀(여)
중구,410,123,287,268,54,214,144,29,115,124,25,99,142,69,73
서구,924,297,627,511,84,427,228,39,189,283,45,238,413,213,200
동구,1054,334,720,621,119,502,279,46,233,342,73,269,433,215,218
영도구,1142,349,793,596,71,525,280,39,241,316,32,284,546,278,268
부산진구,2618,819,1799,1369,196,1173,691,118,573,678,78,600,1249,623,626
동래구,1430,469,961,705,89,616,347,52,295,358,37,321,725,380,345
남구,1930,645,1285,944,148,796,471,93,378,473,55,418,986,497,489
북구,2310,712,1598,1133,128,1005,514,64,450,619,64,555,1177,584,593
해운대구,2947,1106,1841,1506,378,1128,879,286,593,627,92,535,1441,728,713
사하구,3408,1050,2358,1816,235,1581,841,135,706,975,100,875,1592,815,777
금정구,1582,511,1071,859,136,723,409,72,337,450,64,386,723,375,348
강서구,1568,539,1029,801,160,641,428,100,328,373,60,313,767,379,388
연제구,1253,421,832,622,96,526,321,53,268,301,43,258,631,325,306
수영구,1361,503,858,723,173,550,418,120,298,305,53,252,638,330,308
사상구,3080,939,2141,1689,252,1437,744,175,569,945,77,868,1391,687,704
기장군,1795,606,1189,944,156,788,524,99,425,420,57,363,851,450,401
