년,구분,외국인 유학생 수
2011,유학D2,68039
2011,한국어연수D41,20429
2011,외국어연수D47,0
2012,유학D2,64030
2012,한국어연수D41,20681
2012,외국어연수D47,0
2013,유학D2,60466
2013,한국어연수D41,21381
2013,외국어연수D47,0
2014,유학D2,61257
2014,한국어연수D41,25138
2014,외국어연수D47,15
2015,유학D2,66334
2015,한국어연수D41,30017
2015,외국어연수D47,6
2016,유학D2,76040
2016,한국어연수D41,39873
2016,외국어연수D47,14
2017,유학D2,86875
2017,한국어연수D41,48208
2017,외국어연수D47,4
2018,유학D2,102690
2018,한국어연수D41,57971
2018,외국어연수D47,10
2019,유학D2,118254
2019,한국어연수D41,61867
2019,외국어연수D47,10
2020,유학D2,101810
2020,한국어연수D41,51545
2020,외국어연수D47,6
2021,유학D2,111176
2021,한국어연수D41,52506
2021,외국어연수D47,15
2022,유학D2,134062
2022,한국어연수D41,63146
2022,외국어연수D47,26
2023,유학D2,152094
2023,한국어연수D41,74361
2023,외국어연수D47,52
2024,유학D2,85256
2024,한국어연수D41,85173
2024,외국어연수D47,83
