년,귀화국적회복,신청허가,건수
2011,국적회복,신청,2751
2011,국적회복,허가,2265
2011,귀화,신청,24034
2011,귀화,허가,16090
2012,국적회복,신청,3169
2012,국적회복,허가,1987
2012,귀화,신청,21121
2012,귀화,허가,10541
2013,국적회복,신청,2975
2013,국적회복,허가,2686
2013,귀화,신청,18291
2013,귀화,허가,11270
2014,국적회복,신청,2748
2014,국적회복,허가,2886
2014,귀화,신청,14331
2014,귀화,허가,11314
2015,국적회복,신청,2630
2015,국적회복,허가,2610
2015,귀화,신청,16721
2015,귀화,허가,10924
2016,국적회복,신청,2655
2016,국적회복,허가,2303
2016,귀화,신청,17045
2016,귀화,허가,10108
2017,국적회복,신청,2479
2017,국적회복,허가,2775
2017,귀화,신청,17765
2017,귀화,허가,10086
2018,국적회복,신청,2861
2018,국적회복,허가,2698
2018,귀화,신청,22153
2018,귀화,허가,11556
2019,국적회복,신청,3100
2019,국적회복,허가,2443
2019,귀화,신청,16852
2019,귀화,허가,9914
2020,국적회복,신청,2370
2020,국적회복,허가,1764
2020,귀화,신청,16529
2020,귀화,허가,13885
2021,국적회복,신청,3069
2021,국적회복,허가,2742
2021,귀화,신청,18091
2021,귀화,허가,10895
2022,국적회복,신청,4710
2022,국적회복,허가,3043
2022,귀화,신청,18079
2022,귀화,허가,10248
2023,국적회복,신청,5009
2023,국적회복,허가,4136
2023,귀화,신청,18736
2023,귀화,허가,10295
2024,국적회복,신청,5485
2024,국적회복,허가,3607
2024,귀화,신청,19470
2024,귀화,허가,11008
